show_flag,page,title,type,organization,venue,start_date,end_date,notes,url,url_2,,,
FALSE,Interviews,Nieman Reports’ Top 5 Interviews of 2023,LGBTQ+ Issues,Nieman Reports,,12/21/2023,,,https://niemanreports.org/articles/nieman-reports-top-5-interviews-of-2023/,,,,
TRUE,Interviews,These are some of the education questions Chalkbeat answered through data in 2023,Data Journalism,Chalkbeat,,12/18/2023,,,https://www.chalkbeat.org/2023/12/18/answering-education-questions-through-data-from-chalkbeat-in-2023/,,,,
TRUE,Interviews,"As coverage of the trans community increases, journalists work to get it right",LGBTQ+ Issues,NLGJA Connect,,9/9/2023,,,https://nlgjaconnect.com/2023/09/09/as-coverage-of-the-trans-community-increases-journalists-work-to-get-it-right/,,,,
TRUE,Interviews,The Trans Journalists Association is expanding to meet the moment,LGBTQ+ Issues,Poynter,,9/5/2023,,,https://www.poynter.org/ethics-trust/2023/trans-journalists-association-training-new-style-guide-board-members/,,,,
TRUE,Interviews,Introducing TJA’s new board of directors and fiscal sponsor,LGBTQ+ Issues,Trans Journalists Association,,9/5/2023,,,https://www.transjournalists.org/tja-board-announcement/,,,,
TRUE,Interviews,"USA: Amid anti-trans legislation, Trans Journalists Association seeks to provide education and community",LGBTQ+ Issues,International Press Institute,,6/30/2023,,,https://ipi.media/usa-amid-anti-trans-legislation-trans-journalists-association-seeks-to-provide-education-and-community/,,,,
TRUE,Interviews,The Trans Journalists Association Tackles the Shortfalls of Media Coverage of Trans People,LGBTQ+ Issues,Nieman Reports,,6/23/2023,,,https://niemanreports.org/articles/trans-journalists-association-interview/,,,,
TRUE,Interviews,How LGBTQ+ journalists can survive this moment in American politics,LGBTQ+ Issues,Poynter,,5/2/2023,,,https://www.poynter.org/ethics-trust/2023/how-lgbtq-reporters-cover-news-stories-media-under-attack/,,,,
TRUE,Interviews,"3 tips to avoid spreading misinformation about trans people, mental illness and mass shootings",LGBTQ+ Issues,Association of Health Care Journalists - Covering Health,,4/3/2023,,,https://healthjournalism.org/blog/2023/04/3-tips-to-avoid-spreading-misinformation-about-trans-people-mental-illness-and-mass-shootings/,,,,
TRUE,Interviews,13 education data stories that explained U.S. schools in 2022,Data Journalism,Chalkbeat,,12/29/2022,,,https://www.chalkbeat.org/2022/12/29/23521039/education-data-journalism-school-trends-year-in-review/,,,,
TRUE,Interviews,Mainstream newsrooms’ emphasis on “objectivity” continues to harm trans people — and that needs to change now,LGBTQ+ Issues,The Objective,,9/1/2022,,,https://objectivejournalism.org/2022/09/mainstream-newsrooms-emphasis-on-objectivity-harms-trans-journalists/,,,,
TRUE,Interviews,"As Trans Issues Take Center Stage in Media, Trans Journalists Fight For More Than Just Visibility",LGBTQ+ Issues,Mediaite,,6/29/2022,,,https://www.mediaite.com/opinion/trans-journalists-fight-for-more-than-just-visibility/,,,,
TRUE,Interviews,"How to Write About, Edit, and Cite Source Pronouns Accurately",LGBTQ+ Issues,The Freelance Creative,,6/3/2022,,,https://contently.net/2022/06/03/trends/accurate-source-pronouns/,,,,
TRUE,Interviews,"Embrace unique paths, and don't neglect the soft skills: Kae Petrin on Entering Data Journalism",Data Journalism,Teenformation,,4/6/2022,,,https://100453149.wixsite.com/teenformation/post/understanding-data-journalism-with-chalkbeat-s-kae-petrin,,,,
TRUE,Interviews,What LGBTQ+ journalists think you should know,LGBTQ+ Issues,Investigative Reporters & Editors,,11/1/2021,,,https://www.ire.org/wp-content/uploads/woocommerce_uploads/2021/11/ire_q4_2021-iwwvrp.pdf,,,,
FALSE,Interviews,Loop Trolley,Local Politics,Politically Speaking,,01/28/2020,,,https://www.youtube.com/watch?v=L6YUSTtH5ek,,,,
FALSE,Interviews,red light camera data,Data Journalism,Politically Speaking,,12/13/2019,,,https://news.stlpublicradio.org/government-politics-issues/2019-12-13/politically-speaking-on-red-light-cameras-conversion-therapy-and-missouris-dc-delegation,,,,
FALSE,Interviews,McKee/development,Local Politics,Politically Speaking,,11/08/2019,,,https://news.stlpublicradio.org/government-politics-issues/2019-11-08/politically-speaking-untangling-airport-privatization-sports-betting-and-northside-redevelopment,,,,
FALSE,Interviews,Loop Trolley,Local Politics,St. Louis On the Air,,01/02/2020,,,https://news.stlpublicradio.org/economy-business/2020-01-02/st-louisans-reflect-on-trolleys-brief-life-while-showing-up-in-droves-for-its-last-day,,,,
FALSE,Interviews,LGBTQ+ discrimination law,LGBTQ+ Issues,St. Louis On the Air,,10/18/2019,,,https://news.stlpublicradio.org/show/st-louis-on-the-air/2019-10-18/missouri-lgbtq-workers-prepare-for-terrifying-supreme-court-rulings-in-2020,,,,
FALSE,Interviews,Metro union,Local Politics,St. Louis On the Air,,08/22/2019,,,https://news.stlpublicradio.org/show/st-louis-on-the-air/2019-08-22/metros-turning-their-backs-on-transit-operators-union-rep-says-after-mondays-chaotic-commute,,,,
FALSE,Interviews,McKee/development,Local Politics,St. Louis On the Air,,11/30/2018,,,https://www.youtube.com/watch?app=desktop&v=QHSWCnWQLUo,,,,
FALSE,Interviews,Bike safety / Limebike,Local Politics,St. Louis On the Air,,05/15/2018,,,https://news.stlpublicradio.org/show/st-louis-on-the-air/2018-05-15/from-helmets-to-courtesy-to-critical-mass-a-conversation-about-bike-safety-in-st-louis,,,,
FALSE,Interviews,Bike safety / Limebike,Local Politics,St. Louis On the Air,,01/11/2019,,,https://www.youtube.com/watch?v=xsQpYG516XQ,,,,
FALSE,Interviews,Income inequality,Local Politics,St. Louis On the Air,,01/31/2018,,,https://news.stlpublicradio.org/show/st-louis-on-the-air/2018-01-31/i-was-too-black-discrimination-segregation-perpetuate-income-inequality-in-st-louis,,,,
FALSE,Interviews,Webster U Title IX,Local Politics,St. Louis On the Air,,05/24/2019,,,https://www.youtube.com/watch?v=RqT1jEW-Xx8&pp=ygUKa2FlIHBldHJpbg%3D%3D,,,,
FALSE,Interviews,Racial coding STL,Local Politics,We Live Here,,04/04/2015,,,https://news.stlpublicradio.org/2015-04-04/st-louis-coded-conversation-on-race-and-class,,,,
FALSE,Interviews,general SLM stuff,Local Politics,St. Louis Media Works,,08/22/2017,,,https://podcasts.apple.com/us/podcast/stl-media-works-podcast-katelyn-mae-petrin/id1262437394?i=1000391352391,,,,
